Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 8 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Midwestern States
Location name (ESRI Maps): Marion, Iowa, USA
Station Name: -
Latitude: 42.0944 Degree
Longitude: -91.5708 Degree
Elevation (USGS): 879 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.382,0.446,0.553,0.643,0.768,0.866,0.966,1.07,1.21,1.31
10-min:, 0.559,0.653,0.810,0.941,1.12,1.27,1.41,1.56,1.76,1.92
15-min:, 0.682,0.797,0.987,1.15,1.37,1.55,1.72,1.91,2.15,2.34
30-min:, 0.954,1.12,1.40,1.63,1.95,2.20,2.45,2.71,3.05,3.31
60-min:, 1.24,1.45,1.81,2.12,2.57,2.93,3.30,3.69,4.22,4.64
2-hr:, 1.52,1.78,2.23,2.62,3.20,3.67,4.16,4.67,5.39,5.96
3-hr:, 1.69,1.98,2.48,2.94,3.61,4.17,4.76,5.40,6.29,7.01
6-hr:, 1.99,2.32,2.93,3.48,4.32,5.03,5.79,6.61,7.78,8.73
12-hr:, 2.29,2.68,3.38,4.03,5.01,5.84,6.73,7.70,9.07,10.2
24-hr:, 2.61,3.05,3.83,4.54,5.62,6.54,7.52,8.58,10.1,11.3
2-day:, 3.01,3.45,4.26,5.00,6.12,7.08,8.11,9.24,10.8,12.1
3-day:, 3.31,3.75,4.54,5.28,6.41,7.37,8.42,9.56,11.2,12.5
4-day:, 3.57,4.01,4.80,5.54,6.68,7.64,8.68,9.81,11.4,12.8
7-day:, 4.21,4.71,5.59,6.36,7.51,8.46,9.46,10.5,12.0,13.2
10-day:, 4.79,5.35,6.31,7.14,8.33,9.28,10.3,11.3,12.8,13.9
20-day:, 6.52,7.24,8.43,9.43,10.8,11.9,13.0,14.1,15.6,16.8
30-day:, 8.04,8.93,10.4,11.6,13.2,14.4,15.7,16.9,18.5,19.7
45-day:, 10.0,11.2,13.0,14.5,16.5,17.9,19.3,20.7,22.4,23.6
60-day:, 11.8,13.2,15.5,17.2,19.5,21.1,22.7,24.1,25.9,27.1

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.492,0.575,0.714,0.833,1.02,1.17,1.33,1.51,1.74,1.92
10-min:, 0.720,0.842,1.05,1.22,1.50,1.71,1.95,2.21,2.55,2.81
15-min:, 0.878,1.03,1.28,1.49,1.83,2.09,2.38,2.69,3.11,3.43
30-min:, 1.23,1.44,1.80,2.11,2.60,2.96,3.37,3.82,4.41,4.86
60-min:, 1.59,1.87,2.34,2.76,3.45,3.97,4.57,5.22,6.12,6.79
2-hr:, 1.93,2.26,2.85,3.36,4.25,4.93,5.70,6.57,7.77,8.68
3-hr:, 2.14,2.50,3.15,3.74,4.79,5.58,6.52,7.57,9.05,10.2
6-hr:, 2.48,2.90,3.67,4.38,5.69,6.69,7.87,9.22,11.1,12.6
12-hr:, 2.82,3.30,4.18,5.01,6.53,7.69,9.07,10.7,12.9,14.6
24-hr:, 3.18,3.71,4.68,5.57,7.25,8.52,10.0,11.8,14.2,16.1
2-day:, 3.62,4.15,5.13,6.05,7.80,9.13,10.7,12.6,15.2,17.2
3-day:, 3.95,4.47,5.43,6.35,8.11,9.45,11.1,13.0,15.6,17.6
4-day:, 4.23,4.76,5.72,6.63,8.40,9.73,11.4,13.2,15.9,17.9
7-day:, 4.94,5.53,6.58,7.54,9.30,10.6,12.2,14.0,16.6,18.5
10-day:, 5.58,6.24,7.38,8.40,10.2,11.6,13.2,15.0,17.4,19.3
20-day:, 7.50,8.33,9.74,11.0,13.0,14.6,16.5,18.5,21.2,23.2
30-day:, 9.17,10.2,11.9,13.3,15.7,17.5,19.6,21.9,24.9,27.1
45-day:, 11.4,12.7,14.8,16.6,19.4,21.6,24.0,26.6,29.9,32.4
60-day:, 13.3,14.9,17.5,19.6,22.8,25.3,28.0,30.9,34.4,37.0

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.303,0.354,0.437,0.505,0.583,0.642,0.692,0.733,0.795,0.843
10-min:, 0.444,0.518,0.640,0.739,0.854,0.940,1.01,1.07,1.16,1.23
15-min:, 0.541,0.632,0.780,0.901,1.04,1.15,1.24,1.31,1.42,1.50
30-min:, 0.757,0.889,1.10,1.28,1.48,1.63,1.75,1.86,2.01,2.13
60-min:, 0.981,1.15,1.43,1.67,1.96,2.18,2.37,2.54,2.79,2.98
2-hr:, 1.22,1.42,1.78,2.08,2.46,2.75,3.01,3.25,3.60,3.86
3-hr:, 1.36,1.59,1.99,2.34,2.80,3.15,3.48,3.77,4.23,4.57
6-hr:, 1.62,1.89,2.38,2.81,3.40,3.85,4.27,4.67,5.28,5.74
12-hr:, 1.88,2.20,2.78,3.29,3.99,4.52,5.02,5.49,6.22,6.76
24-hr:, 2.18,2.54,3.17,3.74,4.52,5.11,5.66,6.18,6.98,7.58
2-day:, 2.53,2.90,3.57,4.16,4.98,5.59,6.18,6.73,7.58,8.22
3-day:, 2.81,3.17,3.83,4.42,5.24,5.86,6.45,7.01,7.87,8.52
4-day:, 3.04,3.41,4.07,4.67,5.48,6.10,6.67,7.22,8.07,8.71
7-day:, 3.62,4.04,4.78,5.41,6.20,6.80,7.32,7.79,8.54,9.10
10-day:, 4.14,4.62,5.42,6.10,6.89,7.49,7.98,8.41,9.09,9.60
20-day:, 5.70,6.32,7.33,8.15,9.03,9.69,10.2,10.6,11.2,11.7
30-day:, 7.07,7.85,9.08,10.1,11.1,11.8,12.3,12.7,13.4,13.8
45-day:, 8.90,9.91,11.5,12.7,13.9,14.7,15.3,15.6,16.2,16.7
60-day:, 10.5,11.8,13.7,15.2,16.5,17.4,18.0,18.3,18.8,19.2

Date/time (GMT):  Fri Jan  3 19:00:11 2025
pyRunTime:  0.025009632110595703
